input_text,target_text
איפה השחקנית שגילמה את רוסאריו על רצון וחן,שלי מוריסון
היכן נמצאים בלוטות הטעם של הכלב,קצה הלשון
היכן נמצאת הנקודה הדרומית ביותר של ארצות הברית היבשתית,פלורידה
מי היה מעורב בפלישה הסובייטית לאפגניסטן,ברית המועצות
איפה היה הבית שצולם בקסם מעשי,וושינגטון
הנשיא הדמוקרטי הראשון מאז תחילת מלחמת האזרחים,גרובר קליבלנד
מי היה הנשיא שנחשב לאדריכל של החברה הגדולה,לינדון ג'ונסון
מי שר את השירים בפיניאס וברב,לאורה דיקינסון
מי זכה בתואר הסינגלים לגברים בווימבלדון 2017,רוג'ר פדרר
ww1 מתי הכריזה גרמניה מלחמה על רוסיה,1914-08-01
מהי הצורה המלאה של u n f p a,קרן האומות המאוחדות
מי הדמות הראשית אל תיגע בזמיר,אטיקוס פינץ'
באיזה פרק נתן מגלה שהיילי בהריון,I Love You But I've Chosen Darkness
איזו מדינה ניצחה את רוב גביע הדוויס,ארצות הברית
שהוביל את צבא הקונפדרציה ברוב מלחמת האזרחים,ג'פרסון דייוויס
מתי גילו שגארנט זה חיבור,2015-03-12
הייתה שריל בלוסום בקומיקס המקורי של הארכי,yes
מי ניצח בגרנד נשיונל הראשון השני והשלישי,טייגר רול
מישכה ב show down in dance plus 3,bir radha sherpa
זיעת דם ודמעות זיעת דם ודמעות הלהיטים הגדולים ביותר,You've Made Me So Very Happy
כמה רחוק זה לשוחארי ניו יורק מרוצ'סטר ניו יורק,195.7 מיל
איפה התרחשה רעידת אדמה סן פרנסיסקו 1906,סן חואן באוטיסטה
מי שיחקה את האחות בשכחו אותי בבית 3,סקרלט ג'והנסון
מיהו ראש המדינה ה -14 לנשיאות,גודלאק ג'ונתן
pani puri-מה המילה באנגלית ל,חביתית מים
מי שגילמה קוף נקבה בכוכב הקופים,קים האנטר
מי שיחק את dash rip rock ב the beverly hillbillies,לורנס קנת פנל
כמה קילומטרים הוא גשר ביג דאם,0.8003 מיל
עם איזו מדינה הודו תקיים את התרגיל הימי המשותף הראשון שלה,יפן
כמה עולה הרכבת הקלה במיניאפוליס,3.5
מדינה שרוסיה הייתה בעבר חלק ממנה,ברית המועצות
home and away-מי מגלם את אמא של רוזה מרתה ב,בלינדה גיבלין
מי היה ההודי היחיד שהגיע לגמר אחד באליפות בדמינטון באנגליה,פראקאש פדוקון
האם אוכל לשאת אקדח במשיגן עם היתר של אינדיאנה,yes
מתי מסתיימת עונת ההוריקין בניו אורלינס,30 בנובמבר
בנקודות ncaa מי הוביל את ליגת הגברים בכדורסל ה,פיט מרוויץ'
מי זכה בפרס נובל לשלום בחיטה,נורמן בורלוג
מי כתב הסבר קצר על ספר המורמונים,ג'וזף סמית' הבן
"היכן נמצאים רוב כוחות ארה""ב ביפן",בסיס חיל האוויר קדנה
מי היה האדם האחרון שנתלה בצפון אירלנד,רוברט אנדרו מקגלגרי
בעונה 6 orange is the new black-מי משחק בט ב,בת' דובר
two for the money על מי מבוסס,לאן ברנדון
הנחשב למייסד אימפריה גופטה,צ'נדרגופטה 
עונה 3 רשימת שחקנים Ash vs. Evil Dead,לוסי לולס
ברית גלובלית בין capgemini ו ibm הייתה מאז,2001
נקרא תרגול של אישה אחת שיש לה כמה בעלים,פוליאנדריה
מי שיחק את אדי במי הפליל את רוג'ר ראביט,בוב הוסקינס
מי מסדיר את עסקי קרנות הנאמנות בהודו,מועצת ניירות ערך והחליפין של הודו
איפה ממוקם דיסנילנד ארצות הברית,דיסנילנד
מי זכו כשחקן הטובן ביותר והשחקנית הטובה ביותר באוסקר בשנת 2011,קולין פירת'
מי שיחקה את הילדה הקטנה בבגדי ג'רזי,רקל קסטרו
kerala  רשימה של נשיאי בית המשפט העליון,מניקומאר
מתי הפכו טרינידד וטבגו עצמאיים 1 = בשנת 1965 2 = בשנת 1962,1962
כדי לנצח בשחמט checkmate  האם אתה חייב,no
the westing game movie-מי משחק אנג'לה וקסלר ב,דיאן נאדו
unfortunate events מי משחק אדוני בסדרה של,דון ג'ונסון
כשמשתמשים בשיטת דירוג tnm מה ה- m מייצגת,גרורה
איזה נשיא הטיל וטו על מעשי השיקום בתיקון ה -14,אנדרו ג'ונסון
מתי פוד ליון שינתה את שמה מפוד טאון,1983
איזה שחקן ביצע את מספר הריצות הגבוה ביותר ב- IPL,ויראט קוהלי
מי כינה ב 1857 כמרד את מלחמת עצמאות הראשונה,וינאיק דאמודר סאווארקר
איך נקראו מקומות השוק המרכזיים ביוון העתיקה,אגורה
איפה עץ האלון בן 1500 שנה בדרום קרוליינה,קרוליינה הדרומית
"פרק של ""המשרד"" בו דווייט מתחיל לירות",Stress Relief
מתי נערכה ישיבת הקונגרס הלאומי ההודי הרשונה,1946-12-09
מתי החלה ליגת האגדות עונה 7,2016-12-07
מי טבע בקן הקוקיה,צ׳ארלס צ׳סוויק
באיזה סרט יש את השיר תאמין בי קצת,החברה של החבר הכי טוב שלי
מי היוו את הבסיס של התנועה המדינית של מפלגת ה tea,דייויד קוק (איש עסקים)
ki מפרט את שמו המלא של המתחם,יודיד האשלגן
מי שר את climb every mountain בסרט the sound of music,פטרישיה ניואי
מתי התחיל כלל ה directory,1795
מי נתן את התואר של quaid e azam,מוחמד עלי ג'ינה
האם חתולה על גג פח לוהט טרגדיה,yes
מי מחליט איזה יום הוא יום האם,וודרו וילסון
מתי הצהירה האסיפה הכללית של האומות המאוחדות על הזכות לפתח את זכויות האדם,1986-12-04
לאיזו מתכת יש את השפע הגדול ביותר בקרום כדור הארץ,אלומיניום
the great british baking show מי זכה בעונה 1 של,אד קימבר
dave and mike need wedding dates איפה צולם,ארצות הברית
איזה סוג של עיתון הוא עיתון ה capital gazette,עיתון יומי
מי היה המנצח של אני אוהב את ניו יורק 1,פטריק ס האנטר
בריטניה maze runner death cure מתי יציאה,2018-01-26
איזה סוג מסלול כוכבי לכת עוברים סביב השמש,מישור המילקה
השכבה הפנימית ביותר של עורק או וריד נקראת,הגלימה הפנימית
המונח לקצב בו משתנה טמפרטורת האוויר בפועל עם הגובה באטמוספרה,מפל הטמפרטורה באטמוספירה
מי מכר הכי הרבה תקליטים ברחבי העולם,הביטלס
מה שנתון הרכב בסרט גראן טורינו,1972
על טבעי ששלף את סאם מהכלוב,קסטיאל
בת כמה סקרלט בתחילת חלף עם הרוח,16.0 שנה
"מי הציע את ההצעה לעצמאות ניגריה, אך נדחה בהפרש זעום ב-1956",אנתוני אנהורו
מי שהחלו את הפחד האדום בארצות הברית בשנות החמישים,ג'וזף מקארתי
מי מגלם את evil steve בסרט keith lemon,לי פרנסיס
מי ניצח בבחירות של 1796 ובאיזו מפלגה הייתה,ג'ון אדמס
מי מגלם את הדמויות בצעצוע של סיפור 2,דון ריקלס
גיל מינימלי כדי להיות חבר במועצה המחוקקת,30.0 שנה
רשימת המדינות שזכו בגביע העולם,ארגנטינה
once upon a time-בן כמה הילד שגילם את הנרי ב,29.0
עונה 2 person of interest-כמה פרקים ב,22.0
סעיף 2 קובע את הגיל המינימלי להיות נשיא ארצות הברית בתור,35.0 שנה
מיהו הקול של come dine with me,דוד אלכסנדר כבש
מי היה הנשיא הצעיר ביותר של הקונגרס הלאומי ההודי,אבול קאלאם אזאד
מהן 26 המחוזות ברפובליקה של אירלנד,מחוז קאוואן
בעונה הפתוחה the big deer מי מנגן,גארי סיניז
מתי יצא הפוסטר we can do it,1943
מי כתב bless the broken road  על ידי rascal flatts,ג'ף האנה
מה הנושא של יום הבריאות העולמי 2018,"כיסוי בריאות אוניברסאלי: כולם, בכל מקום"
מי נבחר לנשיא הבא של המדינות המאוחדות בשבוע הראשון של יוני 2018,מריה פרננדה אספינוזה גרסס
my heart beats for lola-מי משחק לולה ב,Carmen Villalobos
מי עושה את הקול של טינטין בהרפתקאות טינטין,ג'יימי בל
מהיכן קרינת ה murmur הקשורה להיווצרות אבי העורקים,עורק תרדמני
מתי היה back to you של selena gomez,2018
פילוסוף בריטי שכתיבתו השפיעה על מנהיגים קודמים של אמריקה,ג'ון לוק
מהו שכרו של עוזר נציב מס הכנסה בהודו,15600.0 39100.0 other currency
מי שר בטקס הפתיחה של משחקי חבר העמים 2018,דלתא גודרם
מי ייצר את המחשב הספרתי הבינארי הראשון בעולם,קונראד צוזה
היכן נכתבה ונחתמה מגילת הזכויות,ההיכל הפדרלי
שם הסרט של tu pyar hai kisi aur ka,דיל חי קה מנטה נהין
מי משחק את בן המלך במשחקי הכס,ג'ק גליסון
מהי שפת הקוד המשמשת שכתיבה במערכת linux,באש
הוא מופע זרות המבוסס על אירועים אמיתיים,no
מי מפעיל את סמכות הביצוע בפועל בצורת ממשל פרלמנטרית,נשיא
מי כתב את טקסט אמרקושה בעידן הגופטה,אמארה סינהא
מה היה שם הקוד מבצע ה- iaf בשנת 1999,מבצע צפת סגר
unchained melody מי ביצע את הגרסה המקורית של,The Righteous Brothers
the in laws איפה צולם הסרט,אילינוי
איפה הייתה העונה השביעית של משחק הכס שצולם,צפון אירלנד
איזו זרוע שלטונית מחוקקת חוקים באוסטרליה,הרשות המחוקקת
מתי מיישון מגיעה בהמתים המהלכים,"בפרמיירה העונה ""30 יום ללא תאונה"""
לאיזו קבוצה ראשית שייכים קובלט ברזל וניקל,קבוצת ברזל
השני שווה לכמה אלפיות השנייה,1000.0
מי שר את השיר של פיניאס ופרב,לאורה דיקינסון
מתי הפך הסחר באוקיאנוס ההודי לפעיל ביותר,800 a.d
איפה צולמה סצנת הפתיחה של הסרט סחרור מסוכן,קורטינה ד'אמפצו הרי הדולמיטים
איפה צולם הסרט הנסיך ואני 4,תאילנד
מי הבעלים של ערוץ אורדו 1,faraz ansari
מי מוכר כמי שפיתח את מערכת השמות לכל הדברים החיים,קארולוס ליניאוס
מה הסרטון הפופולרי ביותר ביוטיוב אי פעם,Despacito
איך נקרא החלק העליון של סיגריה אלקטרונית,מרסס
מי עושה את הקול עבור הפרסומות של ארבי,וינג ריימס
מי מורשה להקים מועצה בינלאומית,נשיא
כמה עונות של משחקי הכס יש,8.0
מתי הייתה הפעם האחרונה שאוניברסיטת קנטאקי ניצחה את אוניברסיטת טנסי בפוטבול,2017-10-28
מי עשה את האנימציה בלהרוג את ביל 1,Production I.G
האם אזרחים של ארצות הברית צריכים מספר סושואל,no
מי כיהן בתפקיד שר הראשי במשך התקופה הארוכה ביותר,Pawan Kumar Chamling
מי משחק את דוקטור סמית' באבודים בחלל,ג'ונתן האריס
באיזו שנה מתרחש הרומן עולם חדש ואמיץ,2540
NFLבשביל מי שיחק דומוניק פוקסוורת' ב,אטלנטה פלקונס
מי משחק את אנה בעד עצם היום הזה,אליזבת לייל
מי המציא חשמל ומתי הומצא,בנג'מין פרנקלין
מי שר החינוך עכשיו בקניה,ג'ורג 'מגוחה
איפה נכתב חלום ליל קיץ,לונדון
מיהו האיש שלובש את חולצת הדגל בפורסט גאמפ,אבי הופמן
if at first you dont succeed try try again מי אמר,עולה רגל
באיזה פרק מנסה AJ להרוג את עצמו,ההתגלות השנייה
מתי מאדי מגלה שדיאקון הוא אביה,משחקי הכס (סדרת טלוויזיה) - עונה 1
מי הוכר ביצירת הטבלה המחזורית,דמיטרי מנדלייב
מתי ניצח מאיו לאחרונה את קרי באליפות,2009
מתי lime skittles שונה ל green apple,אפריל 2001
אילו מדינות גובלות בים התיכון באפריקה,מצרים
מיהו מלך המלכים בהיסטוריה ההודית,קיסר מוריאן
בסופרבול tampa bay buccaneers מתי זכו,2003
כמה זמן כל שר הטבעות המהדורה המורחבת,11.4 שעה
מתי באלוהים אנחנו סומכים על כסף,1956
הגיע bates  מאיפה שם המשפחה,ברתולומאוס
מי כתב הו אוהב את זה לא ייתן לי ללכת שיר מילים,Indelible Grace
מתי יוצא dragon ball super ep 106,2017-09-03
האם אזרחים אוסטרלים זקוקים לויזה כדי לנסוע לאיטליה,no
איפה צולם הסרט על אהבה ואי הבנה,ניו יורק
מי ממגלם את מלך האנובר בויקטוריה,פיטר פירת'
מתי יצא המשחק קראש בנדיקוט בפלייסטאשיין 1,1996-09-09
מהי בירת אזרבייג'ן באירופה,באקו
מתי ורייזון סנטר נהיה קפיטל ואן ארנה,1997
banglaהתחילה ב amrit bazar patrikaמתי ה,1868-02-20
האם הם צילמו את ילדי האנרכיה באירלנד,no
מי כתב את השיר what a powerful name it is,ברוק פרייזר
איפה הם יצאו לחופשה בפניי לפניך,מאוריציוס
elena fall back in love with damon מתי עונה 6 של,פרק 12
מי מגלם את ג׳אמס בעד עצם היום הזה,ג'וש דאלאס
מי הבקיע הכי הרבה שערים בעונת פרמייר ליג,אלן שירר
בצו של קדימות הנואם של הלוקה סבהא שני רק ל,ראש הממשלה
כמה אותיות הוואיות נמצאות באלף-בית,12.0
חומר שניתן לפרק לשני חומרים או יותר פשוטים יותר בשיטות כימיות,תרכובת
מהן המדינות האחרונות שהקומו בהודו,צ'האטיסגאר
מי הגיע במקום השני והשלישי באישיות הספורט של השנה 2017,ג'ונת'ן רע
המדינה הגדולה ביותר בניגריה מבחינת אדמת אדמה,ארץ כוש
מתי צולמו שר הטבעות,1999-10
מי החליט להקים את חומת ברלין,ניקיטה חרושצ'וב
"שמו האמיתי של קריש בלפעמים שמח, לפעמים עצוב",ג'יבראן חאן
מי נתן את ההגדרה של הכסף זה מה שעושה כסף,הארלי וויטרס
מתי נכתב when i have fears that i may cease to be,1818-01-31
מתי זואי ווייד נפגשים עונה 3,פרק 8
מתי הפסיקו שטרות של £ 5 להפסיק להיות מכרזים חוקיים,2017-05-05
איזה מהבאים הוא סוכן הלוחמה הכימית המגיבה לראשונה במלחמת העולם 1,גז חרדל
קובץ שנוצר על ידי Microsoft PowerPoint בדרך כלל נקרא  ____,מיקרוסופט פאוורפוינט
קולו של המלך לואי בספר הג'ונגל 1967,לואי פרימה
מתי הופיעה לראשונה הדמות לארה קרופט במשחק הוידאו טומב ריידר,1996
באיזו מדינה בהודו יש את המספר הגדול ביותר של סכרים גדולים ובינוניים,מהאראשטרה
מתי שלחה יפן עצי דובדבן לוושינגטון הבירה,1910-01-06
שקיבל הכי הרבה מדליות באולימפיאדת 2016,ארצות הברית
christmas story מה ראלפי רצה בחג המולד בסרט,red ryder carbine action 200 רובה אוויר דגם טווח
מי כתב את המילים לשיר בפעם הראשונה שראיתי את פנייך,איוואן מקקול
בגביע העולם של פיפא מוענק פרס עולמי הזהב בכל עונה למי,מלך השערים
מי היה מנהיג תנועת הסולידריות בפולין,לך ואלנסה
מי היה הכי הרבה עוקבים באינסטגרם 2017,סלינה גומז
מי התמודד במשחקי הליגה הגדולים ביותר,ג'ין גרבר
מה הם שתי המדינות הכי גדולות באירופה,רוסיה
tx ממקלן tx כמה רחוק ברונסוויל,59.2 מיל
מה שיעור האוריינות בפקיסטן בשנת 2017,58.0 אחוז
אילו מדינות השתתפו במשחקים האולימפיים המודרניים הראשונים,ממלכת בריטניה הגדולה
מי שנחשב למלחין המקורי ביותר מבין חמשת הרוסים,ניקולאי רימסקי-קורסקוב
האורגניזם המיקרוסקופי בבסיס שרשרת המזון הימית ידוע בשם,פיטופלנקטון
"היכן מתבצעים בדרך כלל ציורי ""dhuli chitra""",פורי
קורסים שמערבים פעילויות בשירות קהילתי המספקים נקודות זכות נקראים,למידת שירות
ממשלה על ידי אדם שתופס את השלטון בכוח נקרא,טיראניה
מי גילה את האוקיאנוס הפסיפי ב- 25 בספטמבר 1513,וסקו נונייס דה בלבואה
"כרגע infosys שהוא יו""ר",סליל פארק
מתי נכנס חוק העבדות המודרני לתוקף,2015-03-26
מתי התחוללה המהפכה הירוקה בהודו,1967
מי שהוא הממונה בפועל של מינהל הביטוח הלאומי,אנדרו  סול
באיזו שנה התחילו והסתיימו העידנים האפלים,476 מודעה - 1453
מי היה השר ששלט בווימאר במדיניות הכלכלית והחוץ משנת 1923,גוסטב שטרזמן
הוא 50 גוונים של אפור מבוסס על דמדומים,yes
מי הבקיע הכי הרבה שערים בפרמייר ליג באנגליה,אלן שירר
האם יש מסעדות גולדן קורל באורגון,no
10 הערים המלוכלכות ביותר בעולם,דאקה
מתי זכו העובדים בפולין בשכר גבוה יותר לאחר התקוממות,1956
האם מי הפליל את רוג'ר רביט זה סרט דיסני,yes
מתי הגיע סקי אלפיני לאולימפיאדה,1936
מי זכה במדינת וירג'יניה בבחירות האחרונות לנשיאות,הילרי קלינטון
מי היה ראש משלת אנגליה במלחמת העולם הראשונה,דייוויד לויד ג'ורג'
מי מגלם את ג'סי בסודות ההתבגרות,אוסטין סטוול
star wars tge last jedi dvd תאריך הוצאה,2019-12-04
כמה פעמים זכתה ונצואלה במיס עולם,7.0
מתי הם הפסיקו לעשות בקבוקי בירה סטאבי,1983
מנה שלושה גופים ממשלתיים או סוגי ממשלה הפועלים בארצות הברית,רשות מבצעת
מי שיחקה את אישתו של בראד בהזאב מוול סטריט,קטרינה קאס
מי הייתה האישה הראשונה שהייתה מתמודדת לחברה ברג'יה סבהה,ויולט אלבה
מתי יוצא will brawl stars  באמריקה,2018-12-12
מי המעסיקים הגדולים ביותר בבריטניה,הצבא הבריטי
שהפכה לרשת התקשורת הגדולה בעולם בראשית המאה העשרים ואחת,אינטרנט
לשנת 2017 (ipl) איפה נערכה ליגת  העל ההודית,היידראבאד
עונה 2 the grand tour איפה צולמה,קוטסוולדס
איפה ייערך הגביע האירופי הבא,"במקום מדינה מארחת אחת, יורו 2020 יתפרש על תריסר מקומות ברחבי אירופה."
האם אני צריך ויזה כדי לנסוע לאתיופיה,yes
כמה כרכים של סמוראי צ'מפלו יש,2.0
מי הרס את חדרו של הארי בחדר הסודות,לורד וולדמורט
האם יש סדרה 5 של סליפי הולו,no
מתי הפך מיזוג האוויר למכוניות,1939
ההודי ראשון שזוכה באליפות העולם בדמינטון לצערים,סאינה נהוואל
שזכה בעונה 8 של הטבחים הגרועים ביותר באמריקה,ניק סלטר
איפה הקוורטרבק של הנשרים שיחק כדורגל במכללות,אוניברסיטת המדינה של מישיגן
מי הלך לאורקל בדלפי כדי למצוא מי היה האדם החכם בעולם,סוקרטס
צוות השחקנים של רוקדים עם כוכבים עונה 1,איוונדר הוליפילד
מי מגלם את אח של הופר בבאג לייף,ריצ'רד קינד
איזה סגן נשיא עבד תחת שלושה נשיאים שונים בהודו,מוחמד חמיד אנסרי
מתי גורד השחקים הראשון נבנה בניו יורק,1889
devagiriמי העביר את הבירה מדלהי ל,שושלת תולק
מהי יחידת מסה אטומית שווה,3.6608627 פאונד אוורדפואה
האיש ההודי הראשון שהגיע לגמר של אירוע אתלטי אולימפי,מילחה סינג
מי שיחק את פאגין בסרט אוליבר מ-1968,רון מודי
מי שר את השיר באומן הגדול מכולם,מישל ויליאמס
מהי הפעם האחרונה בה היינו במלחמה עם צרפת,1778-06-01
"שמחזיק בשיא הרוב של ""tackles "" בקריירה",ריי לואיס
מועצה gst  מי מתמנה לנשיא של,נירמלה סירתמן
מי סיים שני בעונה הראשונה של רוקדים עם כוכבים,שרלוט ג'ורגנסן
מה הייתה המתנה ביום הרביעי לחג המולד,"ארבע ציפורים ""קוראות"""
ואין כמו אסקס זה אותו דבר towie  האם,yes
stop look listen to your heart מי כתב את השיר,לינדה קריד
איפה קווין דוראנט בקלעי כל הזמנים,31.0
איך נקראת קבוצה של jackdaws,להקת
a time to kill-מי משחק עכבר מיקי ב,ג'ון דיל (שחקן)
מי שיחק את השריף של נוטינגהאם ברובין הוד,בן מנדלסון
מהי הפעם האחרונה בה זכתה צרפת באליפות העולם,2018-07-15
באיזה בית מלון מתקיימים מפגשי החורף של הבייסבול,Hilton San Diego Bayfront
ההבדל בגדול צורה או צבע בין המינים בתוך זן מכונה כ,דיכרומטיזם מיני
מתי לילי גילתה שמיילי היא האנה מונטנה,עונה 1 פרק 1
כמה פרקים נמצאים בעונה 1 בשבע שניות,10.0
בת כמה הייתה פייג' כשהיא עזבה את רקדניות קטנות,13.0 שנה
במי פליסיטי בוחרת בסוף עונה 1,בנגלית
שמו של המושל הכללי הנוכחי של קנדה,ז'ולי פאייט
תהיה עונה 4 לסדרה Black Ink Crew: Chicago,yes
מי ניצח בתחרות מירב הסלאמים בטניס הגברים,רוג'ר פדרר
ציין שלושה סוגים של חומרים שיכולים להפוך לאצטיל-קואה דרך דרכי חילוף חומרים,חלבון
היכן נמצאות 7 הכנסיות בהתגלות,טורקיה
איפה אזור קידומת 845 ממוקם בארצות הברית,ניו יורק
היא גברת הגאדלופה שלנו יום חובה קדוש,yes
מתי מתחיל מוקדמות גביע העולם 2022,2019-06-06
היכן נמצאים העפיפונים האדומים בבריטניה,דרום-מזרח אנגליה
מי היה הפיזיקאי היווני שהקים את הקוד האתי,היפוקרטס
המנצחת ב badminton commonwealth 2018,סאינה נהוואל
מי שר את שיר הנושא ל pee wee playhouse,סינדי לאופר
מתי שחקני nhl התחילו לשחק באולימפיאדה,1998
מי כתב את הספר united nations and human rights,אלינור רוזוולט
באיזו עונה מגיע סטיב בבית מלא,5.0 עונות השנה
איפה מתקיימת התוכנית i'm a celebrity באוסטרליה,חוות קינג
מי שר את השיר קח אותי לירח במקור,פרנק סינטרה
כמה מדינות באמריקה הלטינית דוברות אנגלית כשפה הרשמית שלהן,1.0
gmc-מי עושה את מנוע הדיזל בטראין ה,ג'נרל מוטורס
מי שר את השירה המובילה בסיפור חיי,ואן דיירקשן
מי מגלם את אמו של רוז באחוזת דאונטון,פיבי ניקולס
מי משחקת את ביתו של bomber ב auf wiedersehen pet,לוסינדה ריילי
מתי קליי נהרג על ידי ילדי האנרכיה,11.0 אפיזודה
מי כתב את שיר הנושא של teenage mutant ninja turtles,צ'אק לורי
מי זכה בסופר בול ב 2015 16,ניו אינגלנד פטריוטס
גזים עיקריים באווירת יופיטר ושבתאי,הליום
מתי נערך ועידת השולחן העגול השני,1931-09-07
bmw 5 מתי הייתה הפעם האחרונה מעוצב מחדש סדרת,2016-10-01
כמה פרקים יש בעונה 4 של i am jazz,8.0
מי שר את השיר שימי רגל אחת לפני השנייה,מיקי רוני
בן כמה חי האדם הקדמון ביותר,122.0 שנה
"דמות זאב שהשמיע קווין בייקון, בהשראת האירועים האמיתיים של 1925, מר אלסקה",בלטו
איזה סוג דגים יש בנהר monongahela,בס לבן
מאיפה שם המשפחה high מגיע,הממלכה המאוחדת
את מי ניצחו הפרקס בסופרבול,פיטסבורג סטילרס
מאיפה מפליג המנון הים,סאות'המפטון
אילו שירים ינגן iron maiden בטור,Aces High
"האם יש לנו חוות רוח מחוץ לחוף בארה""ב",yes
היכן נמצאות רוב תעלות האוקיינוס,האוקיינוס השקט
מי שיצח את עשרת הדו-קרב הדו-קרב בטאביסט,סקוט מקלפלין
מי משחקת את liz ב shaun of the dead,קייט אשפילד
star trek the next generation preemptive strike צוות,מישל פורבס
מהו שמו של tandoor באנגלית,תנור מתכת
מי מגלם את הדב בספר הג׳ונגל  2016,ביל מארי
איזה סוג של התרבות נותן יותר וריאציות,רבייה מינית
מתי ניגריה הפכה לחברה באומות המאוחדות,1960-10-07
הייתה המדינה הקרוליינה הדרומית הראשונה שפרשה מהאיחוד,yes
בכמה סופרבולים זכה טום בארדי,6.0
"מי שר את הפזמון ב""bad and boujee """,ליל אוזי ורט
מי הם אבירי השולחן העגול,סר לנסלוט דו לאק
השיקה את הפלאפון הראשון שלה בהודו vivo  מתי,2014
באיזה אירועים אולימפיים שון ווייט מתחרה,גלישת שלג
Homicide Hunter מתי מתחילה העונה החדשה של,2019-08-28
בת כמה הייתה quiceanera,15.0 שנה
מתי הובאו לראשונה גידולים שעברו שינוי גנטי לייצור מסחרי בארצות הברית,1988
הכי הרבה שערים של שחקן במשחק אחד בגביע העולם,13.0
איפה הייתה הרפובליקה העממית של סין,אסיה
do you hear what i hear מי כתב את קרול חג המולד,גלוריה שיאן בקר
מי שיחק את המורה בית ספר ב the birds,סוזן פלאשט
מי אחראי לתרגם את הביבליה ללטינית במאה הרביעית,הירונימוס
מאיזה גיל אתה יכול לעשן בבריטניה,18.0
האם רחוב בורבון הוא ברובע הצרפתי בניו אורלינס,yes
המדינה האפריקאית הראשונה ששיחקה בגביע העולם,מצרים
מהי הפעם האחרונה שהר הגעש ביילוסטון התפרץ,"לפני 640,000 שנה"
the green mile-מי שיחק פול ישן ב,טום הנקס
מי הוא ה starting qb של eagles,קרסון ונץ
מתי מגילת הזכויות חלה על מדינות,1833
"באיזו רשת יש את טי מובייל בארה""ב",GSM
כוחות האיגוד כבשו את העיר הזאת בדרום קרוליינה במשך רוב מלחמת האזרחים,איי הים
כמה חדרי אירוח יש בבלאגיו,3015.0
the bee gees-מי מת מ,רובין גיב
אילו נקודות קטנות מהוות תמונת מפת סיביות,פיקסל
"מי שכתב את ""זה אני"" מהמחנה רוק",אנדי דוד
איזה מהאלמנטים הבאים הוא דוגמה לפלטינה כסופה מתכתית של סיליקון נתרן,צורן
איפה בנו עשירי ניו יורק את בקתות הקיץ שלהם,לונג איילנד
אזור בצרפת בו נחת כוח הפלישה של בעלות הברית,נורמנדי
מי על אנדרטת הר ראשמור,ג'ורג' וושינגטון
מהו שמה של השחקנית שמשחקת את wonder woman,גל גדות
מתי ניו זילנד יושבה על ידי הבריטים,1840
מתי עונה 5 של אוצר האי המקולל,2017-11-07
מהיכן מופרש הורמון גדילה,היפותלמוס
מי שיחק אדוארד רובינסון בעשרת הדיברות,דתן
מי עיצב את מעיל הנשק הלאומי של דרום אפריקה,איין בקר
האם יש המשך לסרט,no
מתי סדרת 4 הגשר  ב bbc 2,2018-05-11
מי שיחק במקור את רומן בימי חיינו,וויין נורתרופ
האם הסנאט יכול להפיל את מועמד בית המשפט העליון,yes
מי היה מעורב בהפוגה של חג ההמולד במלחמת העולם הראשונה,בריטים
"מיהו המנכ""ל של הסנאט כשסגן הנשיא לא נמצא",הנשיא הזמני של הסנאט של ארצות הברית
תחילת החקלאות התרחשה לפני כמה שנים,12000.0 23000.0 שנה
amazing race-מה מקבלים הזוכים במקומות השני והשלישי ב,10000.0 25000.0 דולר אמריקני
מי הגיע ראשון במירוץ ה great north,מו פארח
היו בספרבול vikings מה הייתה השנה שה,1970
הנשים 2017 ncaa  מי זכה באליפות,סאות' קרוליינה גיימקוקס
מאיפה הגיעו שמות צב הנינג'ה,אמני רנסנס מפורסמים
מה השם של סימן מרכאות אחד,פסיק הפוך
מתי הייתה הפעם האחרונה שפולהאם הייתה בבכורה,2019
מתי הר הגעש בסנטוריני התפרץ לאחרונה,1950
מי שר את i dont wanna die today,לוג'יק
על מי מבוסס גרג מכולם שונאים את כריס,דוד מוסקוביץ
ג'יין הבתולה עונה 3 פרק 1 צוות השחקנים,יעל גרובגלס
gods not dead three מתי יוצא,2018-03-30
"""מעריכי 10 ^ 1"" שווה לאיזה מספר עשרוני",10.0
היכן נמצאים מפרקים אליפסואידים בגוף האדם,בין המטאקרפלים והפלנגות
איזה מדינות שוכבות דרומית לקנדה,ארצות הברית
מי נשרף על המוקד בגלל כפירה,יאן הוס
איך נקראת שיכבת האוויר מסביב לכדור הארץ,אטמוספירה
כמה פרקים יש בעונה השנייה של harlots,8.0
מי מהבאים היה הבירה של שוגונות טוקוגאווה,אדו
מי היא המדינה הגדולה ביותר בדרום הודו,אנדרה פרדש
מתי נוצרה 12 המיתרים הראשונים,1961
איפה נמצא משטח החלקה על הקרח הגדול בהודו,שימלה
"איפה צולמה ""hand that rocks the cradle""",ארצות הברית
מתי מחשבות פליליות החדש יוצא,2020-01-08
לא היו בגמר hawthorn מתי הפעם האחרונה ש,2017
איזה סוג מערכת כלכלית יש בצפון קוריאה,כלכלה פיקודית מרכזית
מי ניצח במשחק הקלפים הפרוע ב brier,ברנדן בוטצ'ר
איזה דגש יווני עיקרי נחשב עדיין לאבן יסוד בתרבות המערבית,דגש על הפרט
